"Type.Of.Traveler","Seat.Type","Date.Flown","Recommended","Seat.Comfort","Cabin.Staff.Services","Food.Beverages","Inflight.Entertainment","Ground.Service","Wifi","Value.For.Money","Reviews","Total.Ratings","Verification","Origin","Destination"
"Family Leisure","Economy Class","05-17","yes",1,1,2,1,2,3,4," We were supposed to depart 11:30am in January 21 2022 they did not ensure that the plane was properly heated and the pipes were frozen, so after boarding and waiting for an hour they made us all de board and kept pushing back our flight. Our new departure time changed from 12:45pm to 1:45pm to 2:20pm and then 4:15pm. Absolutely unacceptable. Delta will do almost anything to not refund you your money. I’ve only ever flown with them twice and both experiences were dreadful. I don’t even know how they have a 4/10 review rating because it needs to be at 0. I’m completely done with Delta they’re just not worth all the hassle and obstacles. We were flying domestic and they don’t seem able to handle such trips.",2,"Not Verified","New York","Seattle"
"Solo Leisure","Economy Class","05-17","no",5,1,2,3,4,5,1," Flew Delta from Orlando to New York. Flight was delayed 20 min due to ""short staff"" as told by the pilot on intercom system. Arrived in New York 30 minutes late then had to wait another 15 minutes to be taxied to tarmac. The pilot then came on the intercom and stated ""nothing we can do we are short staffed just waiting on taxi to tarmac"". We missed our plane connecting to BWI. We were told to go to help desk. When we got to help desk they offered a plane ticket for 6.5 hours later with a 15.00 food voucher for 2 people to eat at the airport. We asked for a supervisor, the lady told us to stand aside. We were then told that the supervisor was busy on the phone right now and there was nothing else they could do. We complained then the supervisor came out and told us that it was not Deltas fault. I said your pilot told us you were short staffed, I said so are you. She said I can’t give out that information. It was unbelievable how we were treated and Delta did not take responsibility at all for us sitting at the airport for an extra 6.5 hours due to their own fault. Never again will I use this airline. This is not how I want to end my vacation. Due to the high cost of tickets the way this whole situation was handled unprofessionally. First and last time this family will use Delta.",3,"Trip Verified","New York","Austin"
"Family Leisure","Economy Class","06-17","no",1,2,3,4,5,1,2," Very bad experience. Delete flight time to later time just like that, that is make missing connection flight. Before boarding started tagging my bag to the final destination. They do not care you are missing connection flight and can has no bag finally in the hotel. They do not listen you problem. Delta is really bad and sad experience but charging much like a good service. Broken day! Crew on board has last 2 rows empty but did not allowed to seat there in case to feel more space, even in that bad situation. Use Delta only like last call",2.57142857142857,"Not Verified","Shannon","New York"
"Solo Leisure","Economy Class","05-17","no",3,4,5,1,2,3,4,"  Had to change my flight due to a family emergency. I thought I had completed it (at no charge) but when I got to the airport they could not find my new flight or my original departure flight. After some searching it was determined that in my haste to change the flight I inadvertently changed the time only but on the original date. Because I had already changed it once I was going to have to pay for the second change. She took the time to speak to a manager and figure it out. Non-stop to my destination without an extra charge. Totally a positive outcome!",3.14285714285714,"Not Verified","Fresno","Minneapolis"
"Solo Leisure","Economy Class","05-17","no",1,2,3,1,2,3,4," We were traveling from Honolulu to Austin via LAX. The flight was overbooked so Delta asked for volunteers to give up their seats. My wife and I said what the heck, let’s do it. Another night in Honolulu! Well, Delta gave us each $1500, a free night at the Marriott resort downtown, and free round trip transportation to and from the hotel. The young Delta employee at the gate was most helpful (in spite of the late hour). In the process we hired an Uber driver who was a charm. He was Korean and spoke little English, but enough to get us to the Marriott. Once we arrived, he helped us with our bags, and told us he would be there to pick us up the next morning. We told him that we had to be at the airport at 6 am and he said no problem. The next morning, sure enough, he was there waiting for us, with donuts as a treat! We tipped him nicely. BTW my wife bought an Oculis with the money, and booked us on another flight to Honolulu (our son, daughter-in-law and young grandson live in Honolulu). Thanks, Delta, for a really great time and for meeting some great people!",2.28571428571429,"Not Verified","Atlanta","Toronto"
"Family Leisure","Economy Class","05-17","no",5,1,2,3,4,5,1," I paid the extra several hundred dollars for the Delta comfort plus ticket because of the advertised comfort items that are said to be provided. Being 5 foot tall, the extra legroom was not a factor for me in my purchase. What was a factor was the comfort items said to come with this premium seating; a pillow, blanket, etc. I was very disappointed to be told on both of my delta flights that neither a pillow nor a blanket could be provided to me. I was actually very uncomfortable the entire flight as it was very cold and there were no pillows and blankets that I could get, even though that is the entire point of comfort plus seating.",3,"Not Verified","Detroit","Las Vegas"
"Solo Leisure","Business Class","05-17","no",2,3,4,5,1,2,3," To enter St. Lucia, on a very long awaited Caribbean vacation, we had to jump through a lot of hoops online, because of Covid restrictions. Arriving at the airport in Hartford at 3am on Sunday, December 5, we found that we had not printed out the final authorization from the government authorizing our entry into the country, though it was on our phones. The Station Manager was ever so patient and kind and smart, because it was not easy to download them, and print them on Delta's printer, which we sent using her email. After quite a bit of trying, she met us at the gate to continue attempts until she finally succeeded in printing the forms out for us. She literally saved our vacation. The rest of the Delta staff, on all 4 legs of our trip, coming and going to St. Lucia were also patient, courteous and professional. The flights were clean and on time and reasonably comfortable. They had Peloton meditation and chair yoga videos as part of their on line entertainment, which I enjoyed. In this very stressful time for air travel, it is nice to have only good things to say about these flights, and this airline. We plan to switch our frequent flyer mile credit card to them. The snacks and beverage were standard airline basic but the people serving them were great.",2.85714285714286,"Trip Verified","Boston","Atlanta"
"Solo Leisure","Business Class","04-17","yes",1,2,3,4,5,1,2," I purchased 5 tickets to fly from JFK New York to Orlando Florida on June 13th 2021 to fly December 26th 2021, On December 24th I contacted Delta to state I needed to cancel due to my family having Covid and wanted a full refund to my credit card, I was told yes I will receive a refund. After the conversation I received an email the it was an e-credit so I called again and was told by a 2nd rep that it will be changed to a full refund and I will have it back to my credit card within 7 days. When I did not receive the credit I contacted Delta on Jan 3rd and was recited their policy that it is an non refundable flight and there will be no refund. When I explained I was told by 2 reps that I would I was told you were given wrong information and you will not get a refund. I also explained we couldn't fly due to Covid and if we did we would have infected far to many people again I was told sorry that's our policy and the rep literally hung up on me. I waited a few days and called yet again to be told again sorry that's our policy. I would think and hope that a company like Delta would care a little more for their passengers especially in the trying times we are in. Delta just really doesn't care and are not compassionate to what this pandemic is doing to people. Its so sad they are willing to hold their policy against a family instead of understanding.",2.57142857142857,"Not Verified","Rome","New York"
"Solo Leisure","Economy Class","05-17","yes",3,4,5,1,2,3,4," Took a flight from Columbus to Bogota on 12/21/2021 and the seats was really uncomfortable for a 5 hour trip. I paid for my luggage overweight and I was told that it was going to cover my return trip back to Columbus on the 1/6/2022. On that day my flight was scheduled for 11:30 PM depart the flight got delay to 1:30 am plus. I got charge $200.00 dollars for my luggage again and I told them that I have already paid for that they didn't care about it, then to make things worst they cancel my second flight from JFK to Columbus which now instead of been on time I needed to wait for 9 hours at the airport for the next flight. I asked a lady from Delta to see if they have another flight that I can catch, she was very disrespectful told, she didn't care that I needed to go to ticketing on the first floor but that was the wrong floor that she send me. I will never fly with Delta.",3.14285714285714,"Not Verified","Honolulu","Narita"
"Solo Leisure","Economy Class","05-17","yes",5,1,2,3,4,5,1," I booked a flight for my brother in law coming in from out of town, my wife and my two kids to come on my conference trip with me and stay at the resort in San Diego. My work ended up postponing the trip until April because the Omicron cases were high. My ticket total was 650 dollars. I called Delta to postpone the tickets until April. They said sure, but you will have to pay a 99$ fee for every reschedule. Totaling 300$, and on top of that, I won't even get refunded the 350$. Instead It'll be taken as an e-credit. The customer service was so dry and uncaring about it. I was on hold for 2 hours for a text message associate, that then told me to get connected to customer care, which was another 2 hour wait, then when i got connected I explained my situation and they said I can't help you, but I can add you to the customer care queue. They were the reservation queue. I told them, I didn't really want to stay on hold for another few hours. As I've already been on hold for 4 hours.... they said, Ok, let me check the queue, and abruptly connected me to the customer care queue. Where I ended up waiting another 2 hours. And I still got the same result. Worst airline ever. I'm never flying Delta again.",3,"Not Verified","Richmond","Atlanta"
"Couple Leisure","Economy Class","05-17","no",2,3,4,5,1,2,3," I didn’t know such poor service existed the most unbelievable thing I’ve ever experienced. My wife and I were headed to Jamaica. Got to airport in plenty of time there was maybe 30 people in line to check bags, our friends got through and half way through checking our bags the classy individual working the delta counter said times up. No warning nothing, (this is my first time ever flying) then we were handed an 800 number to call for Delta which was even a bigger joke. We ended up booking another flight through American to get to Jamaica after already having paid tickets through delta. Sickening customer service",2.85714285714286,"Trip Verified","Fort Lauderdale","Richmond"
"Couple Leisure","Economy Class","01-17","no",1,2,3,1,2,3,1," I had a flight from Seattle to Cancun on this Saturday 08th, 2022 and due health problems I had to cancel I tried to call Delta by phone and the waiting time was about 2hrs 45 min, so I found another way via chatting that at the end of the day it was more or less the same to time to make it possible to have an answer from Delta. After that time the person came to me to tell me that no matter ticket was sold by Delta, the flight would be operated by Aeromexico and they cannot do much in regards of cancelling the flight I told the lady I had to wait more than two hours on line to get such answer? What a terrible service.",1.85714285714286,"Trip Verified","Atlanta","Miami"
"Business","Economy Class","05-17","yes",2,3,1,2,1,2,3," Purchased the comfort+ option, as to be able to change my flight time if needed at no cost. Delta clearly states this is a benefit of this option when selling it while booking a ticket. Still they charged me $75 to make a change to a later flight on the same day. It’s over 3hrs to wait on the phone for customer service. At the airport every Delta personnel I tried to get help from with this started their response with, ""I’m sorry but unfortunately"".. No one budged to help me in the least. I’m a fairly even-toned individual and have a dry sense of humor so I pointed the Delta typical trainee I’m sorry but unfortunately bs, out to the woman at the gate to have her get extremely loud and embarrassing and I actually get threatened a bit. As I tried to go to a seat, this woman kept approaching me and being loud until I finally had to get somewhat loud myself and ask her to leave me alone. The worst of customer service I've ever experienced.",2,"Trip Verified","Little Rock","Flint"
"Couple Leisure","Economy Class","05-17","yes",1,1,1,2,3,1,1," This was the first and the last time for sure, not even for free we will fly again with Delta, we thought we've seen it all, nope, Delta is the worst by far. On the way down, the co-pilot didn't show up, waited for an hour for one from New York while we are in the plain. On the way back, Delta's staff in Panama don't know the regulation and don't know English, they didn't know that we don't need a visa to enter USA, made us wait for an hour and half to verify our Canadian passports. Every time we asked, we were treated like criminals, almost lost the flight.",1.42857142857143,"Trip Verified","Atlanta","Los Angles"
"Couple Leisure","Business Class","04-17","no",1,1,1,1,1,2,3,"Orlando to Detroit. I booked a ticket to Detroit from Orlando I have two of my kids with COVID and my dad who I am traveling to testing positive along with his wife and brother. I have been trying to reschedule my flight yesterday and today I was on the phone yesterday on hold waiting for 6 hours and than got disconnected. Today so far I am on hold for four hours and still no one answered.",1.42857142857143,"Trip Verified","Amsterdam","Boston"
"Couple Leisure","Economy Class","05-17","no",4,1,2,3,4,5,1,"
Our flight started out early morning 40 minutes late from original departure. Knowing we were coming in late Delta decides to close our next flight 5 minutes early at the gate. Next flight we could get, on standby, was 5 hours later. On our first flight there was an attendant yelling at people to keep their mask on while handing them food so they could pull their mask down to eat right after. When my wife went to go politely rebook our flights the Delta clerk rolled her eyes at her. The insanity and lack of compassion from this airline is aggravating so I urge people to not use this airline. The staff have an attitude/entitlement problem and it’s not worth it considering the ticket costs.",2.85714285714286,"Not Verified","Dallas Ft. Worth","Atlanta"
"Family Leisure","Economy Class","05-17","no",2,3,4,1,2,3,4,"  My son just turned 2, and they insisted he wear a mask on the plane. I know that might not sound like a tedious request to some, but for many people with children 2 and under know how hard it is to travel with small children. And then to add having to make sure your 2 year old keeps his mask on for 2 hours, is another task. The staff were not polite about it either. They actually said they would kick me, and my 2 small children, off the plane, if I couldn’t keep my 2 year old babies mask on. However, if they would have politely said: ""ma’am we know your son is a baby, and you are dealing with making sure you have all of your luggage, your children are safe beside you, and getting to your seat. But when you are sitting down could you try and keep your sons mask on"". I would have appreciated that much more. We are frequent flyers, and have never been asked to make sure my baby under 2 feet tall, is wearing a mask by any other airlines. This staff obviously do not have children. Amongst the chaos of traveling alone, to be sympathetic to a single mother, with 2 small children the staff member at the front gate, was incredibly rude when telling me to put a mask on my baby. There were several passengers behind me that actually expressed how rude she was, and sympathized with me on how hard it is to travel with small children. The Flight Manager, announced to half of the plane he was going to kick us off the flight, if it was impossible to keep my 2 year old’s son from pulling his mask off. For Delta managers: This is flight number: DL2596 Writing this review for single parents with small children during Covid. I would not advise flying Delta. I will never choose this airline again.",2.71428571428571,"Not Verified","Amsterdam","Portland"
"Solo Leisure","Economy Class","05-17","no",5,1,2,3,4,1,2,"Good quality flight. Was on Comfort+ for the Seattle to Amsterdam segment. Seats are comfortable enough for me to sleep a minimum and without seeking any paid upgrade. Professional cabin crew and easy airport transition in Amsterdam for connection.",2.57142857142857,"Trip Verified","Dublin","New York"
"Couple Leisure","Economy Class","05-17","yes",3,4,1,2,3,4,5,"Am very astonished and disappointed by Delta International's conduct on my trip in November from Newark to Madrid. I checked in at EWR and left my small suitcase to be checked. The agent asked for $75. I told him that I am entitled to one free checked piece of luggage because 1) I have a DELTA SKYMILES AMERICAN EXPRESS GOLD CARD I paid for the ticket with and 2) I am a SILVER MEDALLION/SKY MILES ELITE member. He asked to see my Amex card and I showed it to him and he returned it and said all was fine and gave me my boarding passes and claim check. It wasn't until I was onboard my flight from Atlanta to Paris (AF) that I discovered that he'd taken the Amex card and swiped it, charged me $75 anyway, and had hidden the charge receipt behind all of my boarding passes. That is so dishonest and deceptive. I wrote to Delta to complain and two months ago I received an e-mail that just said they were going to notify the concerned departments of this issue. To me, this is theft of services and I don't know if I should forget about it or call the police. The staff at the gate was very professional and handled my business documents correctly.",3.14285714285714,"Trip Verified","Denver","Atlanta"
"Business","Economy Class","05-17","no",1,2,3,4,5,1,2," Terrible experience, extremely disappointing as my experience with Delta all the way up to this point has been great. I was going from Anchorage to Salt Lake City, with a layover in Seattle. The first flight had serious turbulence and movement, which wasn't Delta's fault. What was their fault was the fact that they had no barf bags anywhere in my row. As you can imagine, this caused a problem. The second problem arose with the layover timing, which was a ridiculously small time frame to get from the first flight to the second flight, which was accentuated by the fact that the first flight was around 20 minutes late though it claimed to be ""on time."" And then, after all of that, they lost our luggage. They claimed it would be here this morning in a ""worst-case scenario,"" but we're still waiting. It's still in Seattle, with no info on when it will be here. This was a nightmare travel experience. ",2.57142857142857,"Not Verified","Pocatello","Portland"
"Business","Business Class","04-17","no",3,4,5,1,2,3,4," I have never been so frustrated and disappointed by an airline in my life. In my trip from New Orleans to Boston on January 1st, 2022, I had 4 flights cancelled. My original flight from MSY to ATL to BOS was cancelled, and then I was rebooked from MSY to LGA to BOS, which was also cancelled. I was then put on standby from MSY to JFK to BOS, managed to get on that flight to JFK, and was supposed to have a 6 hour layover - I was able to switch to flight DL675 to BOS so I wouldn't be getting home at 11 PM, and was told by the Delta employee who rebooked me that my flight would be protected--that was then cancelled, and I was told I could not even get on the standby list for the 8:59 PM flight to BOS that I had switched from. I talked to a Delta employee and asked him to cancel the 7:00 AM flight (5762) I was automatically rebooked onto for the next day and request my luggage so I could leave the airport and take an Amtrak home. I waited for 5 hours on the baggage claim floor for my bag (with at least 10 other people doing the same), and was told by the 4th Delta employee I spoke to, 4 hours into waiting, that the 3 Delta employees I had already spoken to who said my flight was cancelled and my bag was requested had actually done nothing. The one competent, nice Delta employee finally requested my bag for me — I then waited another 45 minutes, and then that same employee gave me a file number and took my home address to have my bag delivered to me so I could leave the airport, since it was already 11 PM. By the time I left the airport to go to a hotel so I could catch an Amtrak in the morning, it was too late to cancel my flight, despite the fact that I was told by multiple Delta employees that they cancelled it for me. I had to purchase a hotel room, an Amtrak ticket, and leave without my bag and just hope it actually gets delivered to me. I will absolutely never fly Delta again.",3.14285714285714,"Trip Verified","Cancun","Orlando"
"Business","Economy Class","04-17","yes",5,1,2,3,4,5,1," Bad customer service. Wait more than 2 hours to get a live person answered on a phone every time. So annoying. Wait more than 2 hours to get a live person answered on a phone every time. So annoying.",3,"Trip Verified","Tampa","Boston"
"Business","Economy Class","05-17","no",2,3,4,5,1,2,3,"I have no words to describe how I feel now, I am very upset that they canceled my flight at the last minute before departure and don’t even say “sorry”. I was supposed to fly at 3pm to Minnesota but was canceled and rebooked me to Atlanta, then had to wait there for 3 hours and continue flying to MN, arrived at 12.30 midnight. I will never book Delta Air Lines again.",2.85714285714286,"Trip Verified","Phoenix","Atlanta"
"Business","Economy Class","04-17","no",4,5,1,2,3,4,5," Had a really bad experience, flights were delayed and when I arrived in Montego Bay my baggage didn’t arrive. We tried to call, we sent messages, no response, nobody could help at the airport. My flight arrived on 12/30/21 around 2:15 pm, and my baggage was supposed to come on the next flight at 4:30pm but nothing. Today is 12/31/21 I have no medications, no clothes no shoes and still nobody can help. I’m very disappointed and I will guarantee I will never travel with them again.",3.42857142857143,"Trip Verified","Brunswick","Atlanta"
"Business","Economy Class","03-17","no",1,1,1,1,1,1,2,"  Absolutely the worst customer service, I was a loyal member to Delta but that is no longer, I had 2 flights canceled back to back, then zero support from the staff on getting my flight canceled. I decided to trust them again trying to fly back home and again was let down in every way possible. Not to mention to check your bag takes hours on end, I thought showing up 2.5 hours early for my flight was enough and I couldn’t of cut it any closer I had to run through the terminals and was lucky that the lady opened the door for me. the only time I will ever fly with them again is to use my points and then it is adios.",1.14285714285714,"Not Verified","Miami","New York"
"Business","First Class","04-17","no",1,2,1,2,1,2,1," Customer service is the worst especially for the military my son flew in on the 18th and was scheduled to leave back out on 12/31 only to receive and email saying his flight was canceled 4 hours before he was scheduled to leave. The customer service rep we spoke with was beyond rude and told us to pick another day or lose money. It’s nice to know that your company cares so little about people who help keep your country safe.",1.42857142857143,"Not Verified","Honolulu","Los Angeles"
"Solo Leisure","Economy Class","04-17","no",1,2,1,2,1,1,1," This was such a horrific experience I’ll never fly Delta again. Three days in a row they cancelled the exact same flights, and had one of the flights delayed by the exact same 4 hours each evening and yet claimed each occurrence of having no crew was random. Gate agents were either clueless or rude, many were unable to perform reticketing that I was able to do through my app. Somewhere around the evening of day two of waiting, they gave everyone meal vouchers, which might have been nice had a single restaurant been open once they decided to give them to us. One agent told me that if you leave security, you can’t come back through (clearly untrue). One agent told me they could not put me on a partnering airlines flight…I confirmed with someone else that they are required to do so if they cannot serve you (they could not, it was going to be more than 24 hours). So I went back up to counter, asked again more finely and they agreed. But, she “had trouble with the system” miraculously until exactly the minute after I could no longer make that flight. They made people wait for 7 hours in the airport for flights where no crew had been scheduled and none would be coming available, three days in a row. On our last delay, we were told “they hoped our crew, arriving from another city, wouldn’t time out before being able to fly.” I’m sorry, you don’t know whether the crew were waiting for is going to be eligible to fly? Seems like someone should have that information, right? I don’t blame the airline for a cancelled flight, or even 8 cancelled flights. I blame them for a combination of stupidity and actual deception that cost many people a lot, and for a complete callous disregard for the feelings of customers. I watched every other airline handle limited crew with no issues and with some kindness and empathy. Delta employees clearly didn’t care at all, and I’m done with them.",1.28571428571429,"Trip Verified","Billings, MT","Houston, TX"
"Family Leisure","Premium Economy","04-17","yes",1,1,1,2,3,1,2," Very happy with Delta. We got delayed due to weather issues and staff shortages due to covid in Detroit and Delta made sure we had free hotel stay, free shuttle, and food vouchers. We came back every day to see if there was any flights and the attendants were very extremely helpful. One in particular, Mara in Detroit, took extra time to see what options we could take to get home earlier. So instead of Getting home Friday we were able to get home on Wednesday! Mara deserves a raise! Thank you Delta for such amazing service! And please thanks Mara for me!",1.57142857142857,"Trip Verified","New York","Miami"
"Solo Leisure","Economy Class","04-17","no",3,4,5,1,2,3,1," The flight to Denver was a nightmare having us stuck on the tarmac in Seattle for 2.5 hours due to an engine malfunction on the runway. The the return flight was cancelled with Delta providing no assistance or other options to get home and  their website was down not allowing people to get their refunds for the tickets. The only option was to call Delta's phone number which currently has a 4.5 hour wait time with no call-back option available. Long story short, this trip is the prime reason I stick to Alaska Airlines whenever possible and a reminder that it isn't always worth saving an extra $50.",2.71428571428571,"Not Verified","Panama City","Atlanta"
"Family Leisure","Economy Class","04-17","no",2,3,1,2,3,4,5," I was told at the counter that there were not any first class tickets available to do an upgrade. After going through security and coming up to the gate and talking to the rep owner I was informed that there were seats available but I had to use a courtesy phone. Hold time is 5 hours. This is the most ridiculous customer service I’ve ever experienced. Who in their right mind since it’s OK to have a customer on hold for five hours. ",2.85714285714286,"Trip Verified","Denver","Detroit"
"Business","Economy Class","04-17","no",1,2,3,1,2,3,1," Multiple delayed flights. Hours long waits in planes and airports. Flight from Detroit left when we were on the ground ready to make connecting flight. They knew we were on the ground. Left anyway leaving us with several hour wait. Staff unhelpful helping us to get off the plane first knowing we had 26 minutes to get on the connecting flight. Unable to get off plane in Minneapolis because another plane used our unloading platform knowing full well we were on time, even early. Only one info desk to assist with making new flight arrangements. Staff slow. At least 30 people in line ahead of us. Waited over an hour. Cleaning crews late making boarding late. Have been at airports and on planes since 11 this morning. It is now midnight with no end in sight. Hired transport company left us after making 2 trips to airport and waiting for over an hour. ",1.85714285714286,"Not Verified","Atlanta","Syracuse"
"Couple Leisure","Premium Economy","04-17","no",2,3,1,2,1,1,2," Since boarding my flight from Atlanta to Houston the customer service was nasty, I was moved from gate to gate with absolutely no communication the only way I knew was looking up at the board and seeing the boarding attendant gone and the flight no longer posted (this happened 3 times) again absolutely no announcement, My carry on is damaged while trying to board the plane, now I am not at the correct airport I am spending an extra $75 and an hour away from the airport I was told we would be landing at by one of the attendants. I dont want to forget to mention the seats and windows on the plane were sticky and had what looked like cola drops on the windows. I will not be flying Delta again.",1.71428571428571,"Trip Verified","Roanoke","Atlanta"
"Family Leisure","Economy Class","04-17","no",3,4,1,2,1,2,3," While at the gate and returning from San Antonio, Texas on December 26, 2021, customer service asked for any courteous traveler to check their carry on luggage in order to make sure everyone had room. Being a retired USAF service member, I thought I would be able to serve again by checking my carry on luggage, therefore freeing up an additional space for other passengers. I sat down by the window facing the aircraft and noticed the man that I had taken my checked in carry on luggage open a door to the outside of the walkway to the aircraft. I then saw him bring my bag out first and throw it down this 40 to 45 degree angled ramp. It went about 30 to 45 feet and bounced off of the railing at the bottom. Then he proceeded to throw approximately 13 to 15 more bags down on top of mine. As they slid down they literally bounced off of my small carry on luggage until the pressure was too much and they just simply stop bouncing and continued to press against my small luggage. When I arrived home, after my flight to Raleigh, NC and begin to unzip my bag, I immediately noticed that it had been significantly damage. This was a brand new SwissTech luggage I had just purchased for this trip. The way all of our bags were treated after we attempted to be supportive of the mission of your program is totally unacceptable and whomever is in charge of this part of your program should be ashamed. I will never provide you with the opportunity to treat my personal stuff in the manner in which you treated it this time. I am extremely upset and after paying over $1400 for tickets for me and my wife, it is extremely disheartening to find this is the best service you can provide. My rating below will reflect my disappointment with this part of your program/process in particular. It is not a reflection of other aspect of the services provided during the trip. I will recommend Delta Airlines to family and friends, however I will warn them not to go out of their way in any manner to accommodate a request from your company.",2.28571428571429,"Trip Verified","Columbus","Atlanta"
"Couple Leisure","Premium Economy","10-16","yes",1,2,1,2,3,4,5," They blew my connection, then stuck me on a flight that next day that absolutely didn't work for any of my plans with no refund option. The flight I paid for was through Salt Lake City, and that was important to my plans. The flight they stuck me on went 2,000 miles out of the way to Minneapolis and then back to California. No explanation. No apology. No choices. Worst I've ever been treated by an airline in my life.",2.57142857142857,"Trip Verified","Indianapolis","ATL"
"Couple Leisure","Economy Class","03-17","no",1,2,3,4,5,1,2,"Customer Service Agent(s) non existent at gate, I waited for my rollator at the gate for too long, being a guy with a walking disability, but no customer service agent support. I went to baggage claim via wheel chair skycap, but only to learn that Delta finally brought my rollator to the gate. Not only was Delta too slow to have the rollator at gate, but customer service support was non existent at the gate to simply tell me to continue waiting at gate. Delta, please do better!",2.57142857142857,"Trip Verified","Orlando","LaGuardia"
"Solo Leisure","Economy Class","03-17","no",3,4,5,1,2,3,4," Worst service for a handicap person. I was left to be last seated, no assistance to my gate, no assistance ready at my gate and rude TSA, no help. Worst experience ever.",3.14285714285714,"Trip Verified","Seattle","Phoenix"
"Solo Leisure","Economy Class","03-17","yes",5,1,2,3,4,5,1," After 6 hours at the airport they canceled the flight and sent us to a hotel an hour away. Horribly rude staff and then gave us tacos for dinner which I had to pay half the bill because they said the drinks and only a certain dollar amount was allowed after we already eat. They say that we need to be at the airport at 7 am but they don't know if our plane will be able to fly so no departure time just wait till they can figure it out. I know it's the holiday but come on we have been patient we just want a little respect and for Delta to do the right thing. I ask everyone to stay away from Delta as they don't care what happens to you after they get your money.",3,"Not Verified","Grand Forks","Minneapolis"
"Family Leisure","Economy Class","03-17","no",2,3,4,5,1,2,3," Terribly disorganized and unhelpful. I get that it's the holidays so everything is a bit crazy, but everything I dealt with could most definitely be handled better. The day before I left, I tried to check in for my connecting flight and it wouldn't let me. I had to sit on hold for about an hour (while at work mind you) trying to figure out what was wrong. I was very concerned as I knew no one in the state I'd be connecting flights with, and I'd have no way to get home for a while without getting on a new flight. The lady I spoke with said everything would be fine, I'd get my seat assigned at the gate. So the next day, I take my first flight, and go to connect to my second. I get to the gate and ask the lady behind the desk for my seat. She told me ""you're going to have to wait, we oversold this flight and I have to make sure you still have a seat"". I was very upset by this, as I had already explained that if I got stuck at that airport I would be there for a while. Eventually, she confirmed that I had a spot. I finish that flight, and go to the carousel to get my suitcase. I checked my app and it said my bag had been scanned and sent to that specific carousel ... but it wasn't there. I stood there waiting for about 45 minutes trying to find my bag. It never came up, so I went to the baggage office, where they initially tried to brush me off and said ""you just didn't wait long enough, you need to go back and look more"". This made me extremely irritated, as it was obvious they just wanted to get me out of their way, and they didn't really care that my bag was missing. Even when I explained that I had important medications in there, their attitudes did not change. Eventually, a very nice agent named Arthur helped me get a ""lost or mishandled claim"" filed, and he was probably the only helpful Delta associate I dealt with this trip. I am currently on hold with the airline, still trying to figure out my bag. I've been transferred twice and have had no communication on their end in over an hour and a half. I didnt really like Delta in the first place, but now I definitely will never be using their services ever again. It is so not worth the hassle, next time I'm just going to drive.",2.85714285714286,"Not Verified","CUN","LAX"
"Couple Leisure","Economy Class","03-17","no",4,5,1,1,1,1,1," Flight from Phoenix was fine other than the baby crying 75% of the time the whole. I decided to volunteer my carry on bag since it was a little bigger, and they needed the room. So no laptop or personal items i would have normally had with me. I get to Detroit at 5:30am, next flight to Pittsburgh was delayed due to no crew. Then the flight updated around 9:40 to canceled. Next flight out wasn't until 1:45, no one can tell me where my bags are. I had to ask 2 different help desk. Other plans an reservation had to be canceled. And now stuck at the airport no phone charger, no laptop. Now have to spend more money on food that originally was not accounted for. I flew delta because American had something similar happen in Dallas. This experience was horrible, next time I'll drive.",2,"Not Verified","Charleston","New York"
"Family Leisure","Economy Class","03-17","no",1,1,2,3,1,2,3,"  Terrible airline cancels flight 10 minutes before boarding and gives us a flight for the next day for layover flight to SMF, stuck at LAX overnight. Would go lower than 1 star. Then 2 hour wait for customer service after they cancel.",1.85714285714286,"Not Verified","Panama City","Atlanta"
"Family Leisure","Economy Class","03-17","yes",4,1,1,1,2,1,1," I bought a ticket for $2662 to be 5 hours delayed and not to forget we were just sitting inside the airplane with no complementary dinner or anything. They were distributing cups of water during this covid pandemic period stating that they don't have bottles of water. Of course they brought bottles of water after people complained about the water in cups not being sanitary or practical for the kids on board. I am irritated that i spent $2662 to be treated like this by Delta airline and something really needs to be done. If it was other regular flights they would have put more effort in it but since we are just a group of maybe 200-300 west Africans (Senegalese) we got treated very disrespectfully.  Its now 1230 am and we are sitting in the airplane still looking for a miracle.",1.57142857142857,"Trip Verified","Orlando","Detroit"
"Solo Leisure","Economy Class","02-17","yes",1,1,1,1,1,1,2," Absolutely horrible. Missed 2 flights because of a “minor maintenance issue”. Seats are very uncomfortable and crammed. If ever presented with a different airline, take it even if it adds another layover. Flying Delta wouldn’t be worth it even if was free. Horrible aircraft, horrible customer service. It shocks me how little Delta cares for its customers.",1.14285714285714,"Not Verified","Providence","Raleigh/Durham"
"Couple Leisure","Economy Class","03-17","no",1,2,3,4,1,2,3," Sat on tarmac an hour past landing even though we arrived early. Waited for bags for over 45 minutes. Will never fly again. The rest of the terminal was quiet.",2.28571428571429,"Not Verified","Boston","Atlanta"
"Business","Economy Class","03-17","no",4,5,1,2,1,2,3," My concern with Delta is their customer support. It's terrible! They dropped me from their chat and hours waiting for a call. The reason why I tried to contact them is because their app is horrible! I try to book flights and I constantly get ""Oops something went wrong please try again"". Couldn't update or edit my credit card info as well.",2.57142857142857,"Not Verified","Houston","New York"
